id,screen_name,democrat,republican
747806211983179776,RepMikeCapuano,112,2
1058051748,TXRandy14,101,1
234812598,RepLarryBucshon,-1,-1
240812994,RepYvetteClarke,105,2
1072467470,RepSeanMaloney,114,6
1071402577,SenatorFischer,2,102
322013313,LuisGutierrez,-1,-1
50452197,RepJohnLarson,9,100
18915145,senrobportman,19,128
33563161,RepJoseSerrano,-1,-1
20545793,RepSchrader,110,6
37007274,repdonyoung,12,133
193794406,SenCapito,7,126
89193992,govsambrownback,13,121
232992031,USRepKeating,113,7
112740986,RepRonKind,-1,-1
1096059529,SenatorRisch,105,10
993153006,RodneyDavis,3,106
1260172386,RepJuanVargas,106,3
816683274076614656,SenJohnKennedy,13,109
15764644,NancyPelosi,155,12
161743731,RepKayGranger,4,112
137823987,BlumenauerMedia,-1,-1
14135426,keithellison,119,5
2856787757,SenJoniErnst,5,113
1055685948,USRepRickNolan,112,5
233761277,CongHuelskamp,2,114
1074412920,RepPaulCook,4,105
13491312,RepTimRyan,108,1
1072382221,RepMattSalmon,6,110
22545491,KenCalvert,4,108
21111098,SenShelby,122,27
18632666,JerryMoran,3,114
217543151,SenatorTimScott,9,122
190328374,RepTomGraves,1,109
811986281177772032,RepTrey,3,113
252819323,RepTomReed,6,108
2953713339,RepEvanJenkins,10,113
314205957,RepDavidYoung,2,105
269992801,AsaHutchinson,12,109
249219716,RepFincherTN08,0,0
84406725,TerryBranstad,1,110
364415553,RepSarbanes,105,1
2914163523,RepLoudermilk,100,5
16256269,virginiafoxx,3,104
131018989,Mama3Cubs,-1,-1
33576489,RepBrianHiggins,108,4
249348006,RepAnnaEshoo,115,6
18020081,JohnKasich,25,169
2966765501,RepJohnKatko,2,104
296361085,SenJohnThune,7,118
18916432,SpeakerRyan,14,129
296245061,RepAdrianSmith,7,108
199325935,RepAndreCarson,-1,-1
1072008757,RepChrisStewart,1,102
19139963,DanaRohrabacher,5,114
150078976,ChrisMurphyCT,107,12
796736612554117120,RepJimmyPanetta,1,101
240385577,RepMickMulvaney,9,108
550401754,RepHalRogers,3,111
132278386,SenatorBarb,101,2
2962681881,RepGwenGraham,109,7
2724095695,StaceyPlaskett,105,2
17800215,jasoninthehouse,106,15
815931811348017152,RepJohnFaso,4,111
815966620300480514,RepGallagher,1,103
36686040,MaxineWaters,106,1
78403308,SenatorIsakson,6,114
2953922782,RepRyanCostello,5,113
18696134,RepSires,0,0
1058460818,RepHolding,1,105
33977070,RepMikeRogersAL,0,0
140519774,rosadelauro,104,3
20209807,AnderCrenshaw,2,111
18773159,RepScottPerry,3,105
26051676,RepGusBilirakis,100,4
208931294,GovSandoval,5,107
24773493,RepTrentFranks,5,112
234374703,Sen_JoeManchin,134,17
17513304,RepErikPaulsen,4,111
1045110018,RepDanKildee,103,1
24183358,CongCulberson,12,113
246769138,RepEdRoyce,1,111
2560169238,RepDaveBrat,5,115
1089859058,CongressmanRuiz,102,2
211588974,SenatorKirk,6,120
797201048490430465,RepTenney,6,108
1499993378,RepSanfordSC,109,28
234906311,RepEdWhitfield,-1,-1
1305596696,Rep_Hunter,7,111
1206227149,repmarkpocan,111,6
36396752,ButchOtter,8,118
1048784496,RepKevinCramer,11,112
292990703,RepLoisCapps,103,7
3026622545,RepAmata,-1,-1
2915095729,AkGovBillWalker,5,107
2964222544,RepHardy,4,103
164369297,NydiaVelazquez,-1,-1
237770636,JohnCarneyDE,0,0
22012091,WhipHoyer,124,3
231108733,RepBrendanBoyle,107,5
2973870195,RepBuddyCarter,1,104
816012124505931780,repdavidkustoff,1,111
74198348,JudgeTedPoe,5,106
249787913,SenatorCarper,123,16
1077214808,GovInslee,113,14
2964287128,RepRickAllen,100,5
234057152,RepMGriffith,101,1
23600262,EleanorNorton,3,100
258900199,RepMaloney,114,6
815733290955112448,RepJayapal,7,100
2964877294,RepBost,5,108
211530910,RepBillJohnson,3,105
26103389,BillHaslam,7,111
202206694,SenJohnBarrasso,4,112
72198806,SenGillibrand,124,13
305216911,RepBobbyRush,0,0
935368364,MikeKellyPA,3,105
1623308912,RepJasonSmith,7,106
137794015,RepTedDeutch,104,4
600463589,MikeCrapo,7,106
776664410,RepCartwright,113,5
241207373,RepLoBiondo,7,110
1071102246,RepHuffman,106,6
242376736,RepCharlieDent,8,106
104198706,GovernorVA,-1,-1
19318314,repbenraylujan,-1,-1
295685416,ConawayTX11,3,110
